time,corridor_id,demand,ramp_flag
0,Corridor-1,1800,0
1,Corridor-1,1931.770833,0
2,Corridor-1,2029.166667,0
3,Corridor-1,2095.3125,0
4,Corridor-1,2133.333333,0
5,Corridor-1,2146.354167,0
6,Corridor-1,2137.5,0
7,Corridor-1,2109.895833,0
8,Corridor-1,2066.666667,0
9,Corridor-1,2010.9375,0
10,Corridor-1,1945.833333,0
11,Corridor-1,1874.479167,0
12,Corridor-1,1800,0
13,Corridor-1,1725.520833,0
14,Corridor-1,1654.166667,0
15,Corridor-1,1589.0625,0
16,Corridor-1,1533.333333,0
17,Corridor-1,1490.104167,0
18,Corridor-1,1462.5,0
19,Corridor-1,1453.645833,0
20,Corridor-1,1466.666667,0
21,Corridor-1,1504.6875,0
22,Corridor-1,1570.833333,0
23,Corridor-1,1668.229167,0
24,Corridor-1,1800,0
