time,corridor_id,demand,ramp_flag
0,Corridor-1,1200,0
1,Corridor-1,1295.833333,0
2,Corridor-1,1383.333333,0
3,Corridor-1,1462.5,0
4,Corridor-1,1533.333333,0
5,Corridor-1,1595.833333,0
6,Corridor-1,1650,0
7,Corridor-1,1695.833333,0
8,Corridor-1,1733.333333,0
9,Corridor-1,1762.5,0
10,Corridor-1,1783.333333,0
11,Corridor-1,1795.833333,0
12,Corridor-1,1800,0
13,Corridor-1,1795.833333,0
14,Corridor-1,1783.333333,0
15,Corridor-1,1762.5,0
16,Corridor-1,1733.333333,0
17,Corridor-1,1695.833333,0
18,Corridor-1,1650,0
19,Corridor-1,1595.833333,0
20,Corridor-1,1533.333333,0
21,Corridor-1,1462.5,0
22,Corridor-1,1383.333333,0
23,Corridor-1,1295.833333,0
24,Corridor-1,1200,0
0,Corridor-1,600,1
1,Corridor-1,663.8888889,1
2,Corridor-1,722.2222222,1
3,Corridor-1,775,1
4,Corridor-1,822.2222222,1
5,Corridor-1,863.8888889,1
6,Corridor-1,900,1
7,Corridor-1,930.5555556,1
8,Corridor-1,955.5555556,1
9,Corridor-1,975,1
10,Corridor-1,988.8888889,1
11,Corridor-1,997.2222222,1
12,Corridor-1,1000,1
13,Corridor-1,997.2222222,1
14,Corridor-1,988.8888889,1
15,Corridor-1,975,1
16,Corridor-1,955.5555556,1
17,Corridor-1,930.5555556,1
18,Corridor-1,900,1
19,Corridor-1,863.8888889,1
20,Corridor-1,822.2222222,1
21,Corridor-1,775,1
22,Corridor-1,722.2222222,1
23,Corridor-1,663.8888889,1
24,Corridor-1,600,1
